"symbol","name","price"
"AAVGO.BA","Broadcom Inc.","12,320.00"
"GGRMN.BA","Garmin Ltd.","105,300.00"
"NNVS.BA","Novartis AG","60,025.00"
"LLVS.BA","Las Vegas Sands Corp.","42,420.00"
"BBBDC3.BA","Banco Bradesco S.A.","5,025.00"
"PPYPL.BA","PayPal Holdings, Inc.","7,405.00"
"EEBAY.BA","eBay Inc.","60,525.00"
"JJD.BA","JD.com, Inc.","9,990.00"
"GGGB.BA","Gerdau S.A.","24,260.00"
"TTRVV.BA","The Travelers Companies, Inc.","72,325.00"
"NNMR.BA","Nomura Holdings, Inc.","14,040.00"
"KKEP.BA","Korea Electric Power Corporation","31,780.00"
"BBIIB.BA","Biogen Inc.","22,170.00"
"NNTES.BA","NetEase, Inc.","12,720.00"
"VVZ.BA","Verizon Communications Inc.","18,000.00"
"VVIVT3.BA","Telefônica Brasil S.A.","11,530.00"
"IIP.BA","International Paper Company","18,020.00"
"DDOW.BA","Dow Inc.","7,975.00"
"FFSLR.BA","First Solar, Inc.","18,550.00"
"PPAAS.BA","Pan American Silver Corp.","28,340.00"
"BBK.BA","The Bank of New York Mellon Corporation","86,450.00"
"SSBSP3.BA","Companhia de Saneamento Básico do Estado de São Paulo - SABESP","42,440.00"
"IIFF.BA","International Flavors & Fragrances Inc.","10,140.00"
"VVRSN.BA","VeriSign, Inc.","54,050.00"
"BBNG.BA","Bunge Global SA","35,900.00"
"NNG.BA","NovaGold Resources Inc.","63,250.00"
"CCAAP.BA","Corporación América Airports S.A.","165,725.00"
"TTTE.BA","TotalEnergies SE","37,620.00"
"SSID.BA","Companhia Siderúrgica Nacional","19,970.00"
"UUSB.BA","U.S. Bancorp","16,990.00"
"PPKS.BA","POSCO Holdings Inc.","32,180.00"
"TTCOM.BA","Trip.com Group Limited","39,960.00"
"VVALE.BA","Vale S.A.","12,200.00"
"HHPQ.BA","HP Inc.","28,520.00"
"TTWLO.BA","Twilio Inc.","4,547.50"
"HHL.BA","Hecla Mining Company","33,400.00"
"YYPFD.BA","YPF Sociedad Anónima","54,650.00"
"CCDE.BA","Coeur Mining, Inc.","32,760.00"
"HHAL.BA","Halliburton Company","25,020.00"
"MMA.BA","Mastercard Incorporated","23,110.00"
"SSUZ.BA","Suzano S.A.","16,330.00"
"SSUZB3.BA","Suzano S.A.","16,180.00"
"KKO.BA","The Coca-Cola Company","23,180.00"
"PPAC.BA","Grupo Aeroportuario del Pacífico, S.A.B. de C.V.","25,600.00"
"HHMY.BA","Harmony Gold Mining Company Limited","30,820.00"
"TTIMS3.BA","TIM S.A.","7,915.00"
"JJOYY.BA","JOYY Inc.","17,910.00"
"XXOM.BA","Exxon Mobil Corporation","21,780.00"
"NNIO.BA","NIO Inc.","1,805.00"
"MMFG.BA","Mizuho Financial Group, Inc.","14,640.00"
"EEQNR.BA","EQUINOR ASA CEDAR EACH 6 REPR 1","6,800.00"
"AAEG.BA","Aegon Ltd.","11,090.00"
"WWFC.BA","Wells Fargo & Company","25,520.00"
"RRTX.BA","RTX Corporation","58,625.00"
"PPSX.BA","Phillips 66","39,060.00"
"XXP.BA","XP Inc.","7,335.00"
"EERIC.BA","Telefonaktiebolaget LM Ericsson (publ)","8,150.00"
"AAAL.BA","American Airlines Group Inc.","10,220.00"
"AASR.BA","Grupo Aeroportuario del Sureste, S. A. B. de C. V.","27,140.00"
"TTMO.BA","Thermo Fisher Scientific Inc.","33,940.00"
"SSONY.BA","Sony Group Corporation","4,242.50"
"BBKR.BA","Baker Hughes Company","12,700.00"
"SSLB.BA","SLB N.V.","24,670.00"
"SSNAP.BA","Snap Inc.","7,145.00"
"UUNH.BA","UnitedHealth Group Incorporated","12,970.00"
"TTJX.BA","TJX COS INC CEDAR EACH 222 REPR","10,270.00"
"UUNP.BA","Union Pacific Corporation","19,120.00"
"NNXE.BA","NexGen Energy Ltd.","17,100.00"
"TTXR.BA","Ternium S.A.","16,170.00"
"PPCAR.BA","PACCAR Inc","62,150.00"
"GGGAL.BA","Grupo Financiero Galicia S.A.","6,695.00"
"GGLW.BA","Corning Incorporated","48,680.00"
"MMO.BA","Altria Group, Inc.","24,680.00"
"NNFLX.BA","Netflix, Inc.","2,366.00"
"UURBN.BA","Urban Outfitters, Inc.","51,875.00"
"CCAH.BA","Cardinal Health, Inc.","107,825.00"
"BBMA.BA","Banco Macro S.A.","12,700.00"
"UUGP.BA","Ultrapar Participações S.A.","7,495.00"
"NNUE.BA","Nucor Corporation","16,770.00"
"PPG.BA","The Procter & Gamble Company","15,760.00"
"TTECO2.BA","Telecom Argentina S.A.","3,330.00"
"AARM.BA","ARM HOLDINGS PLC CEDEAR EACH 27","6,605.00"
"MMRVL.BA","Marvell Technology, Inc.","8,265.00"
"JJCI.BA","Johnson Controls International plc","83,900.00"
"DDEO.BA","Diageo plc","24,330.00"
"PPAMP.BA","Pampa Energía S.A.","4,840.00"
"TTGSU2.BA","Transportadora de Gas del Sur S.A.","8,615.00"
"AANF.BA","Abercrombie & Fitch Co.","139,300.00"
"CCAR.BA","Avis Budget Group, Inc.","6,645.00"
"AAAP.BA","Advance Auto Parts, Inc.","6,170.00"
"AARCO.BA","Arcos Dorados Holdings Inc.","24,560.00"
"SSPOT.BA","Spotify Technology S.A.","24,070.00"
"BBBAR.BA","Banco BBVA Argentina S.A.","7,955.00"
"CCVX.BA","Chevron Corporation","16,730.00"
"DDHR.BA","DANAHER CORP CEDEAR EACH 54 REP","5,770.00"
"FFMX.BA","Fomento Económico Mexicano, S.A.B. de C.V.","28,060.00"
"MMIRG.BA","Mirgor Sociedad Anónima, Comercial, Industrial, Financiera, Inmobiliaria y Agropecuaria","20,850.00"
"HHOG.BA","Harley-Davidson, Inc.","9,980.00"
"CCEPU.BA","Central Puerto S.A.","2,285.00"
"CCSNA3.BA","Companhia Siderúrgica Nacional","2,483.00"
"TTXAR.BA","Ternium Argentina S.A.","702.50"
"CCELU.BA","Celulosa Argentina S.A.","304.50"
"SSNOW.BA","Snowflake Inc.","8,935.00"
"KKMB.BA","Kimberly-Clark Corporation","26,800.00"
"IISRG.BA","INTUITIVE SURGICAL INC CEDEAR E","8,085.00"
"GGLOB.BA","Globant S.A.","4,060.00"
"AALUA.BA","Aluar Aluminio Argentino S.A.I.C.","990.50"
"VVIST.BA","Vista Energy, S.A.B. de C.V.","26,420.00"
"MMMM.BA","3M Company","25,180.00"
"SSNA.BA","Snap-on Incorporated","94,250.00"
"PPBI.BA","Pitney Bowes Inc.","15,000.00"
"BBYMA.BA","Bolsas y Mercados Argentinos S.A.","308.00"
"BBAK.BA","Braskem S.A.","2,852.50"
"TTV.BA","Grupo Televisa, S.A.B.","1,584.00"
"XXYZ.BA","Block, Inc.","3,660.00"
"SSTNE.BA","StoneCo Ltd.","8,160.00"
"EEFX.BA","Equifax Inc.","17,660.00"
"LLAC.BA","Lithium Americas Corp.","6,860.00"
"SSHOP.BA","Shopify Inc.","1,539.00"
"GGT.BA","GOODYEAR TIRE & RUBBER CO CEDEA","7,005.00"
"AAMGN.BA","Amgen Inc.","18,130.00"
"LLOMA.BA","Loma Negra Compañía Industrial Argentina Sociedad Anónima","3,320.00"
"TTGNO4.BA","Transportadora de Gas del Norte S.A.","4,367.50"
"YYELP.BA","Yelp Inc.","15,450.00"
"EEDN.BA","Empresa Distribuidora y Comercializadora Norte Sociedad Anónima","2,082.00"
"AADGO.BA","Adecoagro S.A.","12,670.00"
"TTRAN.BA","Compañía de Transporte de Energía Eléctrica en Alta Tensión Transener S.A.","3,980.00"
